샘밭막국수 (서울본점), 서울시 서초구 서초동 1685-8, 02-585-1702, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:30 - 21:30
파티세리도효, 서울시 송파구 송파동 57-11, 02-412-2049, 카페 / 디저트, 만원 미만, 12:00 - 22:00, 월
니엔테, 서울시 송파구 송파동 50-11, 070-4001-7846, 이탈리안, 2만원-3만원, 주차공간없음, 12:00 - 21:30
미엔아이, 서울시 송파구 송파동 59, 기타 중식, 만원 미만, 11:30 - 21:00, 14:30 - 17:30, None
송파감자국, 서울시 송파구 석촌동 273, 02-416-7350, 탕 / 찌개 / 전골, 만원-2만원, 12:00 - 02:00, 월
모꼬지에, 서울시 송파구 송파동 195-1, 02-424-6150, 기타 한식, 만원 미만, 주차공간없음, 11:00 - 22:00
부산밀면, 서울시 송파구 석촌동 239-6, 02-417-8887, 국수 / 면 요리, 만원 미만, 무료주차 가능, 11:30 - 20:00
정원이 있는 국민책방 (송파점), 서울시 송파구 송파동 94-4, 02-2202-1313, 카페 / 디저트, 만원 미만, 주차공간없음, 10:00 - 22:00
아벡쑤아, 서울시 송파구 송파동 94-26, 010-4972-2740, 카페 / 디저트, 만원 미만, 주차공간없음, 11:00 - 20:00
채선당 (송파점), 서울시 송파구 송파동 122-5, 02-424-9290, 고기 요리, 만원-2만원, 11:00 - 22:00,
그레인제빵소, 서울시 송파구 송파동 103-11, 02-417-1240, 베이커리, 만원 미만, 주차공간없음, 10:00 - 21:00
허심탄회, 서울시 송파구 석촌동 297-1, 02-415-9009, 해산물 요리, None, None, None
하오찬, 서울시 송파구 송파동 149-4, 02-412-7883, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 11:00 - 20:30
원산만두, 서울시 송파구 송파동 145-13, 02-420-1109, 기타 한식, None, None, None
플라워, 서울시 송파구 문정동 643-1, 02-2283-1345, 베이커리, 만원 미만, 유료주차 가능, 월-금: 08:00 - 21:00\n토: 10:00 - 20:00
라치오, 서울시 송파구 문정동 40-9, 02-400-3031, 이탈리안, 만원-2만원, 주차공간없음, 11:30 - 22:00
툇마루밥상 (본점), 서울시 송파구 문정동 46-11, 02-409-6979, 한정식 / 백반 / 정통 한식, 만원-2만원, 무료주차 가능, 11:30 - 21:30
옹고집꽃게장, 서울시 송파구 문정동 111-10, 02-402-9380, 한정식 / 백반 / 정통 한식, 만원-2만원, 주차공간없음, 11:30 - 21:50
골목떡볶이, 서울시 송파구 문정동 44, 02-3402-3452, 기타 한식, 만원 미만, 주차공간없음, 월-금: 15:00 - 21:00\n토-일: 13:00 - 21:00
콘플러, 서울시 송파구 문정동 643-1, 브런치 / 버거 / 샌드위치, 만원 미만, None, None, None
빕스 (문정점), 서울시 송파구 문정동 56-2, 02-443-2997, 패밀리 레스토랑, 2만원-3만원, 무료주차 가능, 11:00 - 22:00
에머이 (문정점), 서울시 송파구 문정동 651, 02-2054-8538, 베트남 음식, 만원-2만원, 유료주차 가능, 10:00 - 22:00
시루나무, 서울시 송파구 문정동 82-5, 02-2043-3337, 베이커리, None, None, None
몰리케이, 서울시 송파구 문정동 651, 010-3263-0712, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 08:00 - 19:00\n토: 11:00 - 18:00
장쓰동, 서울시 송파구 문정동 73-7, 010-2459-0503, 일반 주점, 만원-2만원, 주차공간없음, 19:00 - 02:00
훠궈야 (송파파크하비오점), 서울시 송파구 문정동 618, 02-407-3325, 기타 중식, 만원-2만원, 유료주차 가능, 11:00 - 22:00
삼우닭강정, 서울시 송파구 문정동 618, 02-431-1575, 닭 / 오리 요리, 만원 미만, 무료주차 가능, 11:00 - 22:00
도쿄하나 진, 서울시 송파구 문정동 634, 02-2673-2599, 정통 일식 / 일반 일식, 만원-2만원, 유료주차 가능, 11:00 - 22:00
더플레이스 (송파파크하비오점), 서울시 송파구 문정동 618, 02-3402-0301, 이탈리안, 2만원-3만원, 유료주차 가능, 11:00 - 22:00
명동피자 (가든파이브점), 서울시 송파구 문정동 634, 02-2673-2039, 이탈리안, 만원-2만원, 10:30 - 22:00, 21:40
멘타로, 서울시 송파구 문정동 634, 02-2157-5702, 까스 요리, None, None, None
르번미, 서울시 송파구 문정동 634, 1522-2205, 베트남 음식, 만원 미만, 유료주차 가능, 10:30 - 21:30
헤븐온탑 (문정점), 서울시 송파구 문정동 618, 02-403-5711, 카페 / 디저트, 만원 미만, 무료주차 가능, 10:00 - 23:00
두끼, 서울시 송파구 문정동 634, 02-2157-5771, 기타 한식, 만원 미만, 유료주차 가능, 10:30 - 22:00
배꼽한정식, 경기도 성남시 수정구 복정동 75-3, 031-759-5951, 한정식 / 백반 / 정통 한식, None, None, None
청마루매운갈비찜샤브샤브, 경기도 성남시 수정구 복정동 34-1, 031-743-9230, 고기 요리, None, None, None
경포, 경기도 성남시 수정구 복정동 38-24, 031-721-2166, 고기 요리, 2만원-3만원, 무료주차 가능, 11:00 - 22:00
추오정남원추어탕, 경기도 성남시 수정구 복정동 27, 031-723-6618, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 10:00 - 21:30
논골장마담집, 경기도 성남시 수정구 단대동 산 164-3, 031-745-5700, 닭 / 오리 요리, 3만원-4만원, 무료주차 가능, 10:00 - 22:00
강산촌, 경기도 성남시 수정구 단대동 산 164-3, 031-746-1250, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 10:00 - 22:00
산아래염소이야기 (복정점), 경기도 성남시 수정구 복정동 47-25, 031-751-5009, 고기 요리, 만원-2만원, 무료주차 가능, 10:00 - 22:00
왕십리곱창, 경기도 성남시 수정구 산성동 1055, 031-733-9298, 고기 요리, 2만원-3만원, 주차공간없음, 15:00 - 23:00
삼시세끼, 경기도 성남시 수정구 산성동 1203, 031-733-4500, 고기 요리, 만원-2만원, 주차공간없음, 10:00 - 22:00
유정집, 경기도 성남시 수정구 단대동 산 164-3, 031-748-8791, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 10:00 - 23:00
구르메우동, 경기도 성남시 중원구 금광동 4459, 031-735-3040, 라멘 / 소바 / 우동, 만원-2만원, 주차공간없음, 11:30 - 22:00
보물촌꺼먹돼지, 경기도 성남시 중원구 중앙동 196, 031-732-6404, 고기 요리, 만원-2만원, 무료주차 가능 공간협소, 11:30 - 24:00
두끼 (성남 세이브존점), 경기도 성남시 수정구 신흥동 2463-5, 031-730-2771, 기타 한식, 만원 미만, 유료주차 가능 2시간 무료, 11:00 - 21:00
서민호생참치연어, 경기도 성남시 중원구 중앙동 370, 031-735-3705, 회 / 스시, 2만원-3만원, 주차공간없음, 16:00 - 24:00
철뚝집, 경기도 성남시 중원구 중앙동 254, 031-734-5279, 고기 요리, 만원-2만원, 주차공간없음, 
로빈스커피, 경기도 성남시 중원구 금광동 4352, 카페 / 디저트, 만원 미만, 11:00 - 24:00, None, None
뿅의전설 (본점), 경기도 성남시 중원구 금광동 26, 031-746-9272, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 00:00 - 24:00
쭈꾸미 손사장, 경기도 성남시 중원구 중앙동 247, 031-732-8061, 해산물 요리, 만원-2만원, 주차공간없음, 12:00 - 02:00
마찌야매콤돈까스, 경기도 성남시 중원구 금광동 3732, 031-736-1290, 까스 요리, 만원-2만원, 주차공간없음, 10:00 - 21:30
엉터리생고기 (단대오거리점), 경기도 성남시 중원구 금광동 3702, 031-749-2929, 고기 요리, 만원-2만원, 무료주차 가능, 일-목: 11:00 - 23:30\n금-토: 11:00 - 24:00
진미떡볶이, 경기도 성남시 수정구 신흥동 5493-5, 031-757-3369, 기타 한식, 만원-2만원, 주차공간없음, 10:00 - 22:00
로사우니카, 경기도 성남시 수정구 신흥동 3437, 010-3933-5464, 카페 / 디저트, 만원 미만, , None
김선생, 경기도 성남시 수정구 신흥동 4160, 031-736-1760, 전통 주점 / 포차, 만원-2만원, , None
고기사랑, 경기도 성남시 수정구 신흥동 5507, 031-755-0363, 고기 요리, 만원 미만, 주차공간없음, 15:00 - 01:00
동해해물탕, 경기도 성남시 수정구 신흥동 3436-14, 031-743-4466, 해산물 요리, 만원-2만원, 무료주차 가능, 10:00 - 22:30
창모루칼제비, 경기도 성남시 수정구 신흥동 2575, 031-733-1494, 국수 / 면 요리, None, None, None
청산골왕갈비살, 경기도 성남시 수정구 신흥동 3779, 031-743-7963, 고기 요리, 만원-2만원, 주차공간없음, 17:30 - 06:00
참맛나리아안동찜닭, 경기도 성남시 수정구 신흥동 4135, 031-747-2338, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 11:00 - 23:00
진주성, 경기도 성남시 수정구 신흥동 2580-1, 031-733-7588, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 00:00 - 24:00
장군보쌈, 경기도 성남시 수정구 신흥동 5463, 031-756-9556, 고기 요리, 만원-2만원, 12:00 - 23:00, 23:00
밀라노상회, 경기도 성남시 중원구 성남동 3235, 031-721-0203, 일반 주점, 만원-2만원, 주차공간없음, 14:00 - 02:00
디파스타, 경기도 성남시 중원구 성남동 4123, 031-722-6026, 기타 양식, 만원-2만원, 무료주차 가능, 12:00 - 22:00
삽다리곱창, 경기도 성남시 중원구 성남동 3218, 031-758-9756, 고기 요리, 만원-2만원, None, None
Re: 안녕커피, 경기도 성남시 중원구 성남동 3537, 010-9055-7630, 카페 / 디저트, 만원 미만, 주차공간없음, 12:00 - 24:00
모란왕족발, 경기도 성남시 중원구 성남동 3453, 031-754-5953, 고기 요리, 만원-2만원, 주차공간없음, 15:00 - 01:00
레시피나인 (모란역점), 경기도 성남시 중원구 성남동 3219, 031-755-2297, 이탈리안, 2만원-3만원, 유료주차 가능, 11:00 - 23:00
홍굴이해물짬뽕, 경기도 성남시 중원구 성남동 3490, 031-722-3361, 정통 중식 / 일반 중식, 만원 미만, 00:00 - 24:00, None
전주감자탕, 경기도 성남시 중원구 성남동 3241, 031-751-4180, 탕 / 찌개 / 전골, 만원 미만, 주차공간없음, 00:00 - 24:00
코지하우스, 경기도 성남시 중원구 성남동 3219, 031-757-3175, 브런치 / 버거 / 샌드위치, 만원-2만원, 무료주차 가능, 09:30 - 22:00
칭하이, 경기도 성남시 중원구 성남동 4159, 031-733-5015, 정통 중식 / 일반 중식, 만원 미만, None, None
밀작, 서울시 강서구 방화동 607-152, 02-2664-1025, 베이커리, 만원 미만, 주차공간없음, 10:00 - 23:00
도일처, 서울시 강서구 방화동 621-19, 02-2662-2322, 정통 중식 / 일반 중식, 만원-2만원, 발렛, 11:00 - 21:00
바다향기, 서울시 강서구 방화동 609-53, 02-2666-4875, 해산물 요리, 2만원-3만원, 주차공간없음, 17:00 - 22:30
노가리깔까, 서울시 강서구 방화동 606-73, 010-8998-6645, 일반 주점, 만원 미만, 주차공간없음, 17:00 - 03:00
최대감, 서울시 강서구 방화동 621-12, 02-2661-6669, 기타 한식, None, None, None
공항떡집, 서울시 강서구 방화동 612-4, 02-2665-4844, 베이커리, None, None, None
아페 카페, 서울시 강서구 방화동 621-24, 070-4158-2000, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
초가집, 서울시 강서구 방화동 612-116, 02-2663-2179, 전통 주점 / 포차, 만원 미만, None, None
문래돼지불백 (방화점), 서울시 강서구 방화동 598-98, 02-2662-6399, 고기 요리, 만원 미만, 주차공간없음, 10:00 - 21:30
해운대복집, 서울시 강서구 공항동 11-21, 02-2661-1113, 해산물 요리, None, None, None
밀작, 서울시 강서구 방화동 607-152, 02-2664-1025, 베이커리, 만원 미만, 주차공간없음, 10:00 - 23:00
카페라클라스, 서울시 강서구 마곡동 736, 02-2664-1118, 카페 / 디저트, 만원 미만, 무료주차 가능, 10:00 - 23:00
최윤진당진아구동태찜탕, 서울시 강서구 방화동 249-20, 02-877-7051, 해산물 요리, 만원-2만원, 00:00 - 24:00, None
비라티오커피 (신방화역점), 서울시 강서구 마곡동 739-4, 070-4138-5638, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 09:00 - 22:00\n토-일: 10:00 - 22:00
밀작 (2호점), 서울시 강서구 마곡동 739, 02-2664-1026, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-토: 08:00 - 22:00\n일: 09:00 - 18:00
존슨부대찌개, 서울시 강서구 마곡동 739-1, 02-3661-0600, 탕 / 찌개 / 전골, 만원-2만원, 주차공간없음, 11:00 - 22:00
노가리깔까, 서울시 강서구 방화동 606-73, 010-8998-6645, 일반 주점, 만원 미만, 주차공간없음, 17:00 - 03:00
페리카나 (방화2호점), 서울시 강서구 방화동 580-53, 02-2666-9992, 닭 / 오리 요리, 만원 미만, None, None
타베루, 서울시 강서구 마곡동 739-4, 070-8288-0982, 라멘 / 소바 / 우동, 만원 미만, 무료주차 가능, 11:00 - 21:00
구름공방 (신방화역점), 서울시 강서구 마곡동 739-4, 02-2661-9980, 치킨 / 호프 / 펍, 만원 미만, 무료주차 가능, 11:30 - 02:00
브루드서울, 서울시 강서구 마곡동 760-1, 070-5025-2480, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:00 - 23:00
나우니스, 서울시 강서구 마곡동 760-1, 02-2668-7878, 브런치 / 버거 / 샌드위치, 만원 미만, 유료주차 가능 앙코르호텔 주차장 1시간 무료, 11:30 - 23:00
악토버, 서울시 강서구 마곡동 760-1, 02-322-7199, 베이커리, 만원 미만, 유료주차 가능, 일-목: 10:00 - 21:00\n금-토: 10:00 - 22:00
프랭크서울 (마곡나루역점), 서울시 강서구 마곡동 757, 02-6989-8030, 기타 한식, 만원 미만, None, None
송쭈집 (마곡나루점), 서울시 강서구 마곡동 759, 02-3664-7892, 해산물 요리, 만원-2만원, 유료주차 가능 2시간 무료, 11:00 - 23:00
꼼떼바베큐 (마곡점), 서울시 강서구 마곡동 760-1, 02-6929-3990, 스테이크 / 바베큐, 만원-2만원, 11:30 - 22:30, 16:00 - 17:00
필립앤노아, 서울시 강서구 마곡동 326-9, 02-3663-6601, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 22:00
뭄미, 서울시 강서구 방화동 197-10, 카페 / 디저트, 만원 미만, , None, None
앙키친, 서울시 강서구 마곡동 760, 02-3662-9889, 퓨전 일식, 만원 미만, 무료주차 가능, 월-금: 11:30 - 22:00\n토: 12:00 - 22:00
올리브키친, 서울시 강서구 방화동 193-11, 02-6738-0093, 이탈리안, 만원 미만, 무료주차 가능, 10:30 - 22:00
함흥본가, 서울시 강서구 등촌동 628-5, 02-3662-1556, 기타 한식, 만원-2만원, None, None
소바트럭, 서울시 강서구 등촌동 639-8, 02-3662-7227, 라멘 / 소바 / 우동, 만원 미만, 무료주차 가능, 월-금: 11:30 - 24:00\n토: 12:00 - 24:00\n일: 12:00 - 23:00
명태어장, 서울시 강서구 등촌동 628-18, 02-2668-1489, 해산물 요리, 만원-2만원, 유료주차 가능, 11:00 - 23:00
뚜스뚜스, 서울시 강서구 등촌동 629-7, 02-3663-0000, 브런치 / 버거 / 샌드위치, 만원-2만원, 무료주차 가능, 07:30 - 01:30
이가바지락손칼국수, 서울시 강서구 등촌동 65-20, 02-3661-2077, 국수 / 면 요리, 만원 미만, 주차공간없음, 09:00 - 22:00
현이네초밥가게, 서울시 강서구 등촌동 641-11, 02-3661-2714, 회 / 스시, 만원-2만원, 무료주차 가능, 11:30 - 22:00
오백년장어, 서울시 강서구 등촌동 661, 02-2668-8778, 해산물 요리, 4만원 이상, 발렛, 11:30 - 22:00
더족발 (가양점), 서울시 강서구 가양동 1480-5, 02-2063-3785, 고기 요리, 만원-2만원, 무료주차 가능, 16:00 - 24:00
도쿄하나 (등촌점), 서울시 강서구 등촌동 661-12, 02-2668-0853, 정통 일식 / 일반 일식, 3만원-4만원, 무료주차 가능, 11:30 - 22:00
더플롯커피, 서울시 강서구 등촌동 656-49, 070-8840-1884, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 09:30 - 24:00\n토-일: 10:00 - 24:00
등촌최월선칼국수, 서울시 강서구 등촌동 654-95, 02-3661-2744, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:30 - 21:30
고양이똥2, 서울시 강서구 등촌동 636-3, 02-3662-1281, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:00 - 24:00
코끼리만두, 서울시 강서구 등촌동 654-78, 02-3662-1215, 한정식 / 백반 / 정통 한식, 만원 미만, 주차공간없음, 09:30 - 19:30
유림, 서울시 강서구 염창동 5-17, 02-3665-3930, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 11:30 - 22:00
뚜스뚜스, 서울시 강서구 등촌동 629-7, 02-3663-0000, 브런치 / 버거 / 샌드위치, 만원-2만원, 무료주차 가능, 07:30 - 01:30
박가부대 (증미역점), 서울시 강서구 염창동 240-21, 02-2093-2988, 탕 / 찌개 / 전골, 만원 미만, , 수제햄부대찌개\n8
현이네초밥가게, 서울시 강서구 등촌동 641-11, 02-3661-2714, 회 / 스시, 만원-2만원, 무료주차 가능, 11:30 - 22:00
깐부치킨 (증미점), 서울시 강서구 등촌동 638-3, 02-6961-5252, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 15:00 - 01:00
봉추찜닭 (가양점), 서울시 강서구 염창동 240-21, 02-3661-6981, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 10:00 - 22:00
채선당 (등촌점), 서울시 강서구 등촌동 631, 02-2063-8661, 고기 요리, 만원-2만원, 11:30 - 22:00, 21:30
고양이똥, 서울시 강서구 등촌동 647-62, 02-6013-1281, 브런치 / 버거 / 샌드위치, 만원-2만원, 주차공간없음, 10:30 - 23:00
동그라미곱창, 서울시 양천구 목동 960, 02-2642-2926, 고기 요리, 만원-2만원, 무료주차 가능, 15:30 - 02:00
스시경, 서울시 양천구 목동 609-22, 02-2062-0677, 회 / 스시, 만원-2만원, 무료주차 가능, 월-토: 11:30 - 24:00\n일: 17:00 - 24:00
옛날한우곱창전문, 서울시 강서구 등촌동 647-9, 02-2654-8026, 고기 요리, 만원-2만원, None, None
할범탕수육, 서울시 양천구 목동 610-26, 02-2652-0883, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 10:00 - 22:00
외국포차, 서울시 양천구 목동 612-6, 010-2296-4433, 일반 주점, 만원-2만원, 유료주차 가능, 17:00 - 03:00
유쾌했소, 서울시 양천구 목동 611-19, 02-2642-6565, 고기 요리, 만원-2만원, 주차공간없음, 18:00 - 06:00
강서복집, 서울시 강서구 등촌동 648, 02-3661-6672, 해산물 요리, 무료주차 가능, 10:30 - 23:30, 연중무휴
정일품삼계탕, 서울시 강서구 등촌동 648, 02-3661-8058, 닭 / 오리 요리, 만원-2만원, , None
골목집, 서울시 양천구 목동 614-1, 02-2648-3073, 기타 한식, 만원 미만, 주차공간없음, 09:00 - 23:00
나폴레옹과자점 (목동점), 서울시 양천구 목동 908-28, 02-2649-6644, 베이커리, 만원 미만, 무료주차 가능, 08:00 - 21:30
가정경양, 서울시 양천구 목동 909-4, 02-2649-2458, 기타 한식, 만원-2만원, 유료주차 가능, 11:00 - 21:00
토다이 (목동점), 서울시 양천구 목동 908-28, 02-2645-7888, 뷔페, 3만원-4만원, 유료주차 가능, 11:30 - 22:00
닐리 (목동점), 서울시 양천구 목동 907-10, 02-2654-0427, 패밀리 레스토랑, 만원-2만원, 유료주차 가능 2시간 무료, 11:30 - 22:30
원조쌈밥집 (목동점), 서울시 양천구 목동 907-10, 02-2649-8878, 한정식 / 백반 / 정통 한식, 만원-2만원, 무료주차 가능, 11:30 - 22:00
깐부치킨 (목동5단지점), 서울시 양천구 목동 908, 02-2646-9233, 닭 / 오리 요리, 만원-2만원, 유료주차 가능 2시간 무료, 16:00 - 01:30
본설렁탕 (목동점), 서울시 양천구 목동 907-23, 02-2651-8700, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 08:00 - 23:00
커피요리, 서울시 양천구 목동 908-29, 02-2643-0109, 카페 / 디저트, 만원 미만, 주차공간없음, 11:00 - 22:00
선궁, 서울시 양천구 목동 907, 02-2062-0206, 정통 중식 / 일반 중식, 만원 미만, None, None
등촌샤브칼국수 (목동점), 서울시 양천구 목동 908-31, 02-2646-8666, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 11:00 - 21:30
베이커리옥토버, 서울시 영등포구 양평동4가 64-1, 02-3667-0915, 베이커리, 만원 미만, 주차공간없음, 10:30 - 21:00
원조우렁된장너도나도식당, 서울시 영등포구 양평동5가 57-1, 02-2634-5469, 한정식 / 백반 / 정통 한식, 만원 미만, 주차공간없음, 월-토: 07:00 - 21:00\n일: 08:00 - 14:00
또순이네, 서울시 영등포구 양평동4가 81, 02-2672-2255, 고기 요리, 만원-2만원, 무료주차 가능, 11:30 - 22:00
엘카페커피로스터스 (본점), 서울시 영등포구 양평동5가 2-1, 070-8269-0715, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 08:00 - 21:00\n토-일: 12:00 - 21:00
선유기지, 서울시 영등포구 양평동4가 153-4, 070-8862-3697, 카페 / 디저트, 만원 미만, 주차공간없음, 12:00 - 22:00
나나캄, 서울시 영등포구 양평동4가 125-3, 02-2631-2377, 기타 한식, 만원 미만, 주차공간없음, 11:30 - 21:00
엘디아, 서울시 영등포구 양평동4가 199, 070-8829-5057, 세계음식 기타, 만원-2만원, 무료주차 가능, 11:00 - 23:00
홈앤브레드, 서울시 영등포구 양평동4가 161-17, 02-2633-8487, 베이커리, 만원 미만, 주차공간없음, 07:30 - 20:30
스퀘어21, 서울시 영등포구 양평동5가 106-1, 02-2062-5445, 이탈리안, 만원-2만원, 무료주차 가능, 11:00 - 22:00
호연, 서울시 영등포구 양평동4가 51-1, 02-2672-8823, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 11:30 - 21:30
도쿄등심블루 (여의도점), 서울시 영등포구 여의도동 35-3, 02-782-2260, 고기 요리, 2만원-3만원, 11:00 - 23:00, 15:00 - 17:00
폴앤폴리나 (여의도점), 서울시 영등포구 여의도동 37, 02-761-1966, 베이커리, 만원 미만, 주차공간없음, 12:00 - 19:00
바스버거 (여의도점), 서울시 영등포구 여의도동 24-1, 02-784-6643, 브런치 / 버거 / 샌드위치, 만원 미만, 무료주차 가능 1시간 무료, 월-금: 11:00 - 23:00\n토-일: 11:30 - 21:00
신원, 서울시 영등포구 여의도동 23-5, 02-3772-8366, 한정식 / 백반 / 정통 한식, 만원 미만, 무료주차 가능, 월-금: 11:00 - 22:30\n토-일: 11:00 - 15:00
오케이버거, 서울시 영등포구 여의도동 23-8, 02-761-6420, 브런치 / 버거 / 샌드위치, 만원-2만원, 유료주차 가능, 월-금: 11:00 - 21:00\n토-일: 12:00 - 21:00
피그인더가든, 서울시 영등포구 여의도동 23-5, 02-761-4272, 기타 양식, 만원-2만원, 유료주차 가능, 월-금: 08:00 - 22:00\n토-일: 10:00 - 21:00
올라6 (파크센터점), 서울시 영등포구 여의도동 28-3, 02-2070-7220, 이탈리안, 4만원 이상, 유료주차 가능, 11:30 - 22:30
삼거리푸줏간 Blue (YG 리퍼블리크 IFC점), 서울시 영등포구 여의도동 23, 02-6137-3034, 고기 요리, 만원-2만원, 무료주차 가능, 11:00 - 23:00
송추가마골인어반, 서울시 영등포구 여의도동 25-11, 02-783-6008, 고기 요리, 2만원-3만원, 유료주차 가능, 11:00 - 22:00
진주집, 서울시 영등포구 여의도동 36-2, 02-780-6108, 국수 / 면 요리, 만원 미만, 유료주차 가능, 월-금: 10:00 - 21:00\n토: 10:00 - 20:00
카페 진정성 (디스트릭트와이점), 서울시 영등포구 여의도동 45-1, 02-6484-5133, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 08:00 - 21:00\n토-일: 11:00 - 21:00
가양칼국수버섯매운탕, 서울시 영등포구 여의도동 43-3, 02-784-0409, 국수 / 면 요리, 만원 미만, 유료주차 가능, 11:30 - 21:00
팥이재, 서울시 영등포구 여의도동 45-19, 02-782-1822, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 22:00
브레드피트, 서울시 영등포구 여의도동 43-4, 02-782-0102, 베이커리, 만원 미만, 유료주차 가능, 09:00 - 19:00
진주집, 서울시 영등포구 여의도동 36-2, 02-780-6108, 국수 / 면 요리, 만원 미만, 유료주차 가능, 월-금: 10:00 - 21:00\n토: 10:00 - 20:00
파낙스, 서울시 영등포구 여의도동 45-19, 02-780-9037, 탕 / 찌개 / 전골, 만원-2만원, 유료주차 가능, 10:00 - 22:00
대원, 서울시 영등포구 여의도동 36-4, 02-784-0879, 한정식 / 백반 / 정통 한식, 만원 미만, 주차공간없음, 11:00 - 24:00
서궁 (여의도점), 서울시 영등포구 여의도동 43-3, 02-780-7548, 정통 중식 / 일반 중식, 만원 미만, 유료주차 가능, 11:00 - 21:30
헤븐온탑 (디스트릭트와이점), 서울시 영등포구 여의도동 45-1, 카페 / 디저트, 만원 미만, , None, None
창고43 (본점1관), 서울시 영등포구 여의도동 36-2, 02-783-4557, 고기 요리, 4만원 이상, 무료주차 가능, 10:00 - 22:00
프랑세즈, 서울시 동작구 흑석동 8-37, 02-825-5265, 베이커리, 만원 미만, 유료주차 가능, 08:00 - 22:00
터방내, 서울시 동작구 흑석동 184-19, 02-813-4434, 카페 / 디저트, 만원 미만, 주차공간없음, 11:00 - 24:00
리얼후라이 (흑석본점), 서울시 동작구 흑석동 180-4, 02-813-1804, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 15:00 - 02:00
성민양꼬치, 서울시 동작구 흑석동 51-6, 02-816-8522, 기타 중식, 만원-2만원, 유료주차 가능, 14:00 - 02:00
탭하우스, 서울시 동작구 흑석동 181-1, 치킨 / 호프 / 펍, 만원 미만, 주차공간없음, None, None
바야흐로, 서울시 동작구 흑석동 9-27, 070-7755-2889, 치킨 / 호프 / 펍, 만원-2만원, 주차공간없음, 월-토: 18:00 - 02:00\n일: 18:00 - 24:00
삼목등심, 서울시 동작구 흑석동 95-20, 02-822-3035, 고기 요리, 만원-2만원, 17:00 - 22:00, None
피자보이시나 (흑석점), 서울시 동작구 흑석동 190-5, 02-815-6564, 이탈리안, 만원-2만원, 주차공간없음, 11:00 - 22:30
산이네, 서울시 동작구 흑석동 207-17, 02-3280-2923, 일반 주점, 만원-2만원, 주차공간없음, None
오후홍콩, 서울시 동작구 흑석동 188-15, 카페 / 디저트, 만원 미만, 주차공간없음, 10:00 - 22:00, 아메리카노\n3
리틀크레이지피자, 서울시 서초구 반포동 1048, 02-591-0282, 기타 양식, 만원 미만, 주차공간없음, 11:00 - 21:30
박종근과자점, 서울시 서초구 반포동 1050, 02-599-4295, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 06:30 - 23:00\n토: 06:30 - 22:00\n일: 14:00 - 23:00
흥미면옥, 서울시 서초구 반포동 816, 02-533-0329, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:00 - 21:00
소운빙 (반포점), 서울시 서초구 반포동 978, 02-537-1195, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 22:00
아이언펍, 서울시 서초구 반포동 816, 02-534-5860, 일반 주점, None, None, None
돈키, 서울시 서초구 반포동 816, 02-599-2747, 기타 한식, 만원 미만, 무료주차 가능, 11:30 - 20:30
애플하우스, 서울시 서초구 반포동 978, 02-595-1629, 기타 한식, 만원 미만, 주차공간없음, 10:00 - 21:30
스마일포차, 서울시 서초구 반포동 938, 02-534-0236, 전통 주점 / 포차, 만원-2만원, 주차공간없음, 17:00 - 04:00
반포치킨, 서울시 서초구 반포동 1048, 02-599-2825, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 11:30 - 24:20
에이치플러스와이, 서울시 서초구 반포동 809, 02-3477-2612, 카페 / 디저트, 만원 미만, 무료주차 가능, 09:00 - 21:00
김영모과자점 (신반포점), 서울시 서초구 반포동 18-4, 02-3481-2004, 베이커리, 만원 미만, 유료주차 가능, 08:00 - 22:30
