['밀작', '서울시 강서구 방화동 607-152', '02-2664-1025', '베이커리', '만원 미만', '주차공간없음', '10:00 - 23:00'],,,,,
['육부단', '서울시 중랑구 신내동 648', '02-3421-6992', '고기 요리', '만원-2만원', '무료주차 가능', '11:30 - 24:00']
['Mr왕', '서울시 중랑구 신내동 648', '02-3423-3318', '정통 중식 / 일반 중식', '만원 미만', 'None', 'None']
['토리자까나', '서울시 중랑구 신내동 648', '02-3421-0919', '이자카야 / 오뎅 / 꼬치', '만원-2만원', '11:00 - 01:00', '14:30 - 17:50']
['어썸커피', '서울시 중랑구 신내동 646', '02-3421-2002', '카페 / 디저트', '만원 미만', '', 'None']
['데일리파크', '서울시 중랑구 묵동 20', '02-3422-0146', '브런치 / 버거 / 샌드위치', '만원 미만', 'None', 'None']
['스시차이', '서울시 중랑구 신내동 648', '02-3421-8582', '회 / 스시', '만원-2만원', '무료주차 가능 지하주차장 이용가능', '11:30 - 22:00']
['봉화산커피', '서울시 중랑구 신내동 648', '010-8028-1119', '카페 / 디저트', '만원 미만', '유료주차 가능 2시간 무료', '월-토: 08:00 - 23:00\n일: 11:00 - 23:00']
['낙지방 (봉화산점)', '서울시 중랑구 신내동 648', '02-3421-1177', '해산물 요리', '', 'None', 'None']
['봉평막국수', '서울시 중랑구 신내동 648', '02-3423-3309', '국수 / 면 요리', '만원 미만', '유료주차 가능 2시간 무료', '10:00 - 22:00']
['유정집', '서울시 중랑구 신내동 644', '02-3423-3600', '고기 요리', '3만원-4만원', '무료주차 가능', '11:00 - 23:00']
['진미떡볶이', '경기도 성남시 수정구 신흥동 5493-5', '031-757-3369', '기타 한식', '만원-2만원', '주차공간없음', '10:00 - 22:00']
['쿠데타 (본점)', '경기도 성남시 수정구 수진동 2207', '031-757-6364', '카페 / 디저트', '만원-2만원', '주차공간없음', '11:00 - 23:00']
['어서오슈', '경기도 성남시 수정구 신흥동 6562', '031-758-0180', '카페 / 디저트', '만원 미만', '주차공간없음', '10:00 - 22:00']
['커피타는너구리', '경기도 성남시 수정구 수진동 1-3', '031-756-3323', '카페 / 디저트', '만원 미만', '유료주차 가능', '월-금: 11:00 - 22:00\n토-일: 11:00 - 23:00']
['란주천면관', '경기도 성남시 수정구 수진동 77', '031-721-5868', '기타 중식', '만원 미만', 'None', 'None']
['충칭소면', '경기도 성남시 수정구 수진동 41-2', '031-752-5489', '기타 중식', '만원 미만', '주차공간없음', '11:00 - 24:00']
['고래고래', '경기도 성남시 수정구 신흥동 5517', '031-756-7664', '치킨 / 호프 / 펍', '만원-2만원', '17:00 - 06:00', 'None']
['고기사랑', '경기도 성남시 수정구 신흥동 5507', '031-755-0363', '고기 요리', '만원 미만', '주차공간없음', '15:00 - 01:00']
['동방만두 전문점', '경기도 성남시 수정구 수진동 163', '031-722-3348', '딤섬 / 만두', '만원 미만', '주차공간없음', '10:00 - 22:00']
['쿠우쿠우', '경기도 성남시 수정구 수진동 5', '031-759-9000', '뷔페', '2만원-3만원', '유료주차 가능', '11:00 - 22:00']
['이조면옥', '서울시 강서구 가양동 138-9', '02-3661-3457', '국수 / 면 요리', '만원-2만원', '무료주차 가능', '11:30 - 21:30']
['별난낙지', '서울시 강서구 등촌동 681-3', '02-3661-8882', '탕 / 찌개 / 전골', '2만원-3만원', '무료주차 가능', '11:00 - 22:00']
['금왕돈까스', '서울시 강서구 가양동 148-10', '02-3663-8258', '기타 한식', '만원 미만', '무료주차 가능', '09:30 - 21:30']
['정통춘천닭갈비', '서울시 강서구 가양동 249-7', '02-2658-6727', '닭 / 오리 요리', '만원-2만원', 'None', 'None']
['1977김치찌개', '서울시 강서구 마곡동 727-23', '02-2659-5539', '탕 / 찌개 / 전골', '만원 미만', '유료주차 가능', '10:00 - 22:00']
['갯마을회전문점', '서울시 강서구 가양동 130-1', '02-3662-5112', '한정식 / 백반 / 정통 한식', 'None', 'None', 'None']
['카페드라무', '서울시 강서구 마곡동 784-6', '02-3661-1204', '카페 / 디저트', '만원 미만', '무료주차 가능', '월-금: 08:00 - 23:00\n토-일: 10:00 - 23:00']
['노렌', '서울시 강서구 마곡동 784-4', '02-3663-7524', '기타 한식', '만원 미만', '무료주차 가능', '11:00 - 23:00']
['먹태집', '서울시 강서구 마곡동 784-8', '02-2668-5858', '일반 주점', '만원-2만원', 'None', 'None']
['담소사골순대 (가양점)', '서울시 강서구 가양동 1498', '02-6968-5321', '탕 / 찌개 / 전골', 'None', 'None', 'None']
['신야텐야 (염창역점)', '서울시 양천구 목동 513-30', '02-2653-5533', '돈부리 / 일본 카레 / 벤토', '만원-2만원', '주차공간없음', '11:30 - 22:00']
['망향비빔국수 (강서점)', '서울시 강서구 염창동 263-7', '02-2659-6599', '국수 / 면 요리', '만원 미만', '무료주차 가능', '11:00 - 22:00']
['고씨네 (본점)', '서울시 양천구 목동 528-1', '02-2642-5288', '돈부리 / 일본 카레 / 벤토', '만원 미만', '무료주차 가능', '11:30 - 20:30']
['챠라챠라', '서울시 강서구 염창동 283-2', '02-6448-8411', '이자카야 / 오뎅 / 꼬치', '만원-2만원', '무료주차 가능', '18:00 - 03:30']
['인생덮밥', '서울시 양천구 목동 526-3', '070-8865-1991', '돈부리 / 일본 카레 / 벤토', '만원 미만', '주차공간없음', '11:00 - 23:00']
['이엄청난참치 (염창점)', '서울시 강서구 염창동 250-19', '02-3663-7373', '해산물 요리', '2만원-3만원', '주차공간없음', '18:00 - 24:00']
['카페더브릿지', '서울시 양천구 목동 515', '카페 / 디저트', '만원 미만', 'None', 'None', 'None']
['어가촌', '서울시 양천구 목동 528-1', '02-2644-4999', '해산물 요리', '만원-2만원', '무료주차 가능', '10:00 - 23:00']
['봉구비어 (염창역점)', '서울시 양천구 목동 527-3', '02-2648-0246', '치킨 / 호프 / 펍', 'None', 'None', 'None']
['농장이야기 (목동직영점)', '서울시 양천구 목동 530-3', '02-2645-4626', '고기 요리', '만원-2만원', 'None', 'None']
['정인면옥', '서울시 영등포구 여의도동 13-1', '02-2683-2615', '국수 / 면 요리', '만원 미만', '무료주차 가능', '11:00 - 21:30']
['커피기업', '서울시 영등포구 여의도동 13-25', '02-786-5671', '카페 / 디저트', '만원 미만', '주차공간없음', '월-금: 07:00 - 21:00\n토: 10:00 - 17:00']
['하동관', '서울시 영등포구 여의도동 15-24', '02-785-9292', '탕 / 찌개 / 전골', '만원-2만원', '유료주차 가능', '07:00 - 16:00']
['이도맨숀', '서울시 영등포구 여의도동 13-11', '고기 요리', '3만원-4만원', '11:30 - 23:00', '15:00 - 17:00', 'None']
['카페마마스 (여의도점)', '서울시 영등포구 여의도동 14-21', '02-783-5505', '브런치 / 버거 / 샌드위치', '만원-2만원', '유료주차 가능', '월-금: 07:30 - 22:00\n토-일: 09:00 - 21:30']
['올라 (KBS점)', '서울시 영등포구 여의도동 17', '02-2090-7220', '이탈리안', '만원-2만원', '발렛', '11:30 - 22:30']
['진진만두국 (서여의도점)', '서울시 영등포구 여의도동 13-20', '02-761-5454', '탕 / 찌개 / 전골', '만원 미만', '무료주차 가능', '11:00 - 22:00']
['김명자굴국밥전문점 (여의도점)', '서울시 영등포구 여의도동 14-11', '02-782-0954', '탕 / 찌개 / 전골', '만원 미만', '18:00 - 23:00', '없음']
['소호정 (여의도점)', '서울시 영등포구 여의도동 13', '02-780-0363', '국수 / 면 요리', '만원-2만원', '유료주차 가능', '11:00 - 21:30']
['그리츠', '서울시 영등포구 여의도동 17-5', '02-6222-5511', '뷔페', '4만원 이상', '유료주차 가능', '06:30 - 22:00']
